support_rule,scope,group,threshold,retained_rows,total_rows,coverage_fraction
Q90,OVERALL,ALL,1.743944685367989,18679,20537,0.9095291425232507
Q90,OBSERVED_CONFIGURATION,clean,1.743944685367989,9338,10352,0.902047913446677
Q90,OBSERVED_CONFIGURATION,iced,1.743944685367989,9341,10185,0.9171330387825233
Q90,EXACT_PAIR,lat_121_01_15_ID_4.csv,1.743944685367989,852,884,0.9638009049773756
Q90,EXACT_PAIR,lat_121_01_15_ID_5.csv,1.743944685367989,532,579,0.918825561312608
Q90,EXACT_PAIR,lat_121_01_15_ID_6.csv,1.743944685367989,686,718,0.9554317548746518
Q90,EXACT_PAIR,lat_121_05_8_ID_4.csv,1.743944685367989,553,671,0.8241430700447094
Q90,EXACT_PAIR,lat_121_05_8_ID_5.csv,1.743944685367989,621,765,0.8117647058823529
Q90,EXACT_PAIR,lat_121_05_8_ID_6.csv,1.743944685367989,642,749,0.8571428571428571
Q90,EXACT_PAIR,lat_db_01_15_ID_4.csv,1.743944685367989,647,670,0.9656716417910448
