pair_group,flight_id,feature,mean_delta_nrmse_over_repeats,sd_delta_nrmse_over_repeats,min_delta_nrmse_over_repeats,max_delta_nrmse_over_repeats,repeats
lon_3211_02_12_ID_4.csv,4,alpha,0.747905074466349,0.0282775102383075,0.6726544173643062,0.7840792438611078,20
lon_3211_02_12_ID_4.csv,4,beta,0.022830078125514,0.004550780980571851,0.01576575252960466,0.028987153319062764,20
lon_3211_02_12_ID_4.csv,4,p,0.014732310456612902,0.004243350411946221,0.00428807688862709,0.021290527162387884,20
lon_3211_02_12_ID_4.csv,4,q,0.33670547994133465,0.008297705462734147,0.31813413663778045,0.3521830886322177,20
lon_3211_02_12_ID_4.csv,4,r,0.005542419329129305,0.0017523449003512504,0.002512963207709662,0.00871348948539663,20
lon_3211_02_12_ID_4.csv,4,aileron,0.03165694892320396,0.003518488446913206,0.024593787309698856,0.04098632488380316,20
lon_3211_02_12_ID_4.csv,4,elevator,0.13105861517077094,0.006781946215089342,0.11682612560087713,0.14902628856979216,20
lon_3211_02_12_ID_5.csv,5,Va_EKF_CG,0.08303239998391715,0.005016783733996766,0.0683594837353621,0.09277416632803243,20
lon_3211_02_12_ID_5.csv,5,alpha,0.6668457682528606,0.01526303815796221,0.6333791080523301,0.693435495543427,20
lon_3211_02_12_ID_5.csv,5,beta,0.02041358139080966,0.002893590535669683,0.015017887060694068,0.025543556395088207,20
lon_3211_02_12_ID_5.csv,5,p,0.02441361030612967,0.0030419623341450606,0.020035825362862303,0.03251026955391889,20
lon_3211_02_12_ID_5.csv,5,q,0.31363798146660915,0.007558994534135144,0.2976431320600927,0.32531593971178646,20
lon_3211_02_12_ID_5.csv,5,r,0.012397478176374193,0.0016522636914357612,0.009567958983771663,0.01544446692983048,20
lon_3211_02_12_ID_5.csv,5,aileron,0.044205295426780755,0.002705235180303158,0.03850553743448171,0.04830761891909968,20
lon_3211_02_12_ID_5.csv,5,elevator,0.1242571410814917,0.007249868901011319,0.11490963371168733,0.14383469770693186,20
lon_3211_15_6_ID_4.csv,4,Va_EKF_CG,0.0967221759210141,0.00548915566178073,0.08365238775956818,0.10653448262011739,20
lon_3211_15_6_ID_4.csv,4,alpha,0.4703259121114379,0.0065352050029227745,0.4561447700398919,0.482244769961853,20
lon_3211_15_6_ID_4.csv,4,beta,0.02905879167741271,0.0023102526021555104,0.025943082577391308,0.03495271906339453,20
lon_3211_15_6_ID_4.csv,4,p,0.020430798630918616,0.001053151883770573,0.018873567964578952,0.023189455775999845,20
lon_3211_15_6_ID_4.csv,4,q,0.25510798218610903,0.00492226693518953,0.2449911057072171,0.2635656045721036,20
lon_3211_15_6_ID_4.csv,4,r,0.009763395278470232,0.0011180293417610233,0.008079597829141028,0.012579946353392268,20
lon_3211_15_6_ID_4.csv,4,aileron,0.03119611889483302,0.002597749543562185,0.026157840131547094,0.037185003140450645,20
lon_3211_15_6_ID_4.csv,4,elevator,0.12582282512324944,0.00401654803030971,0.11778196889956022,0.13157821077673687,20
lon_3211_15_6_ID_5.csv,5,Va_EKF_CG,0.094777858593363,0.003865300555955618,0.08958327159041479,0.10432445085477593,20
lon_3211_15_6_ID_5.csv,5,alpha,0.43013500409536487,0.010551464553827475,0.4136664886738255,0.45519236844600286,20
lon_3211_15_6_ID_5.csv,5,beta,0.0568243148295964,0.004146546166734921,0.049934878382020154,0.06350628978669937,20
lon_3211_15_6_ID_5.csv,5,p,0.01970594257778448,0.0015744971112867988,0.017465652218611127,0.023032818072565242,20
lon_3211_15_6_ID_5.csv,5,q,0.22506972742340386,0.005394409443422641,0.21509576365254401,0.23482388164637102,20
lon_3211_15_6_ID_5.csv,5,r,0.010625999069281028,0.0015081253635585454,0.008115321029057376,0.013417303409642478,20
lon_3211_15_6_ID_5.csv,5,aileron,0.03136497774983608,0.0022253596498983006,0.026363467506229032,0.03561280205538747,20
lon_3211_15_6_ID_5.csv,5,elevator,0.09425799589887904,0.0026180809084139786,0.08971840093853012,0.09824745137653512,20
lon_db_03_12_ID_4.csv,4,Va_EKF_CG,0.030393654694897805,0.002027482743823011,0.025838981528160998,0.03368751728231012,20
lon_db_03_12_ID_4.csv,4,alpha,0.6181671302167236,0.011686586146633548,0.5940593233039615,0.6375362743480271,20
lon_db_03_12_ID_4.csv,4,beta,0.03314966175888505,0.0030191301238329553,0.02707258218706765,0.040529900648055006,20
lon_db_03_12_ID_4.csv,4,p,0.03550498541033516,0.0036845581922392906,0.027366666713875276,0.04212119495296207,20
lon_db_03_12_ID_4.csv,4,q,0.3221732899039929,0.0072979587628595865,0.3074434905842728,0.3343732372020676,20
lon_db_03_12_ID_4.csv,4,r,0.013891114124179548,0.0017463062957581244,0.010296108153850847,0.01670577347754415,20
lon_db_03_12_ID_4.csv,4,aileron,0.0652597516009589,0.003331517161490634,0.059199659844190844,0.07040106265630858,20
lon_db_03_12_ID_4.csv,4,elevator,0.13632519583606512,0.005153237583671136,0.12761813646325348,0.1476917960783366,20
lon_db_03_12_ID_5.csv,5,Va_EKF_CG,0.026118057568277998,0.0016953030257808315,0.02257548303989909,0.02930877617764094,20
lon_db_03_12_ID_5.csv,5,alpha,0.5289525631245517,0.014403222811318372,0.49964648060355515,0.5517772578197515,20
lon_db_03_12_ID_5.csv,5,beta,0.030756585497943734,0.003833460466348899,0.021809875476888507,0.03681877322728544,20
lon_db_03_12_ID_5.csv,5,p,0.019358291209018493,0.0036512453862553138,0.012400319598415754,0.028667648532225143,20
lon_db_03_12_ID_5.csv,5,q,0.2666635778317796,0.006729770957682724,0.252565339475945,0.27968375400382056,20
lon_db_03_12_ID_5.csv,5,r,0.009244989925100606,0.0018496533442477856,0.0062403562238051435,0.01434930171661547,20
lon_db_03_12_ID_5.csv,5,aileron,0.05061313282520541,0.004500667445766965,0.039035888487551074,0.05809954224261099,20
