family,outer_hold_id,config_id,inner_fold,inner_score,train_groups,validation_groups,train_rows,validation_rows
POLY2_RIDGE,2,POLY2_A_10,1,0.7660569046203282,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_10,2,0.8317960530235005,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_10,3,0.6580028272537929,14,4,12587,2500
POLY2_RIDGE,2,POLY2_A_100,1,0.765174635691606,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_100,2,0.8206209711197888,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_100,3,0.6644849032242092,14,4,12587,2500
POLY2_RIDGE,3,POLY2_A_0p0001,1,0.7880608906457844,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_0p0001,2,0.8629957271930496,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_0p0001,3,0.6409613887027912,14,4,12473,2945
POLY2_RIDGE,3,POLY2_A_0p001,1,0.7880571965088737,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_0p001,2,0.8629934183894704,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_0p001,3,0.6409620718776016,14,4,12473,2945
POLY2_RIDGE,3,POLY2_A_0p01,1,0.7880205468600495,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_0p01,2,0.8629704199847158,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_0p01,3,0.6409689073016722,14,4,12473,2945
POLY2_RIDGE,3,POLY2_A_0p1,1,0.787681741025664,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_0p1,2,0.8627491270908171,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_0p1,3,0.6410376104321007,14,4,12473,2945
POLY2_RIDGE,3,POLY2_A_1,1,0.7860694964252923,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_1,2,0.8611954559000983,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_1,3,0.6417444935328677,14,4,12473,2945
POLY2_RIDGE,3,POLY2_A_10,1,0.7898490163600812,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_10,2,0.8597019979506805,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_10,3,0.6471881407250694,14,4,12473,2945
POLY2_RIDGE,3,POLY2_A_100,1,0.792261616866638,10,8,9350,6068
POLY2_RIDGE,3,POLY2_A_100,2,0.854124549077055,12,6,9013,6405
POLY2_RIDGE,3,POLY2_A_100,3,0.6531015162573993,14,4,12473,2945
EXTRA_TREES,1,ET_FULL_LEAF1,1,0.6921244784570678,10,8,9306,6609
EXTRA_TREES,1,ET_FULL_LEAF1,2,0.7059765308710898,12,6,9500,6415
EXTRA_TREES,1,ET_FULL_LEAF1,3,0.6022714175029035,14,4,13024,2891
EXTRA_TREES,1,ET_FULL_LEAF4,1,0.6915664196490052,10,8,9306,6609
EXTRA_TREES,1,ET_FULL_LEAF4,2,0.7019575995464955,12,6,9500,6415
EXTRA_TREES,1,ET_FULL_LEAF4,3,0.6134092295302859,14,4,13024,2891
EXTRA_TREES,1,ET_D18_LEAF1,1,0.7044297801330931,10,8,9306,6609
EXTRA_TREES,1,ET_D18_LEAF1,2,0.7118638258102777,12,6,9500,6415
EXTRA_TREES,1,ET_D18_LEAF1,3,0.609210277519422,14,4,13024,2891
EXTRA_TREES,1,ET_D18_LEAF4,1,0.7015007378249133,10,8,9306,6609
EXTRA_TREES,1,ET_D18_LEAF4,2,0.7061871199973869,12,6,9500,6415
EXTRA_TREES,1,ET_D18_LEAF4,3,0.6217644245392773,14,4,13024,2891
EXTRA_TREES,2,ET_FULL_LEAF1,1,0.6788172263554509,10,8,8862,6225
EXTRA_TREES,2,ET_FULL_LEAF1,2,0.7061899698366872,12,6,8725,6362
EXTRA_TREES,2,ET_FULL_LEAF1,3,0.5917022468024058,14,4,12587,2500
EXTRA_TREES,2,ET_FULL_LEAF4,1,0.6812889545640172,10,8,8862,6225
EXTRA_TREES,2,ET_FULL_LEAF4,2,0.7026439311659787,12,6,8725,6362
EXTRA_TREES,2,ET_FULL_LEAF4,3,0.6006491328126967,14,4,12587,2500
EXTRA_TREES,2,ET_D18_LEAF1,1,0.6899472275296858,10,8,8862,6225
EXTRA_TREES,2,ET_D18_LEAF1,2,0.7083499122340577,12,6,8725,6362
EXTRA_TREES,2,ET_D18_LEAF1,3,0.5969293981244772,14,4,12587,2500
EXTRA_TREES,2,ET_D18_LEAF4,1,0.69219517855926,10,8,8862,6225
EXTRA_TREES,2,ET_D18_LEAF4,2,0.7050515474003519,12,6,8725,6362
EXTRA_TREES,2,ET_D18_LEAF4,3,0.6091525577163209,14,4,12587,2500
EXTRA_TREES,3,ET_FULL_LEAF1,1,0.7205139695464431,10,8,9350,6068
EXTRA_TREES,3,ET_FULL_LEAF1,2,0.7109229064541873,12,6,9013,6405
EXTRA_TREES,3,ET_FULL_LEAF1,3,0.5724084859225745,14,4,12473,2945
EXTRA_TREES,3,ET_FULL_LEAF4,1,0.7237068370360354,10,8,9350,6068
EXTRA_TREES,3,ET_FULL_LEAF4,2,0.7104586717886323,12,6,9013,6405
EXTRA_TREES,3,ET_FULL_LEAF4,3,0.5824078850862935,14,4,12473,2945
EXTRA_TREES,3,ET_D18_LEAF1,1,0.7289402491040352,10,8,9350,6068
EXTRA_TREES,3,ET_D18_LEAF1,2,0.7130115796060948,12,6,9013,6405
EXTRA_TREES,3,ET_D18_LEAF1,3,0.5771908008196603,14,4,12473,2945
EXTRA_TREES,3,ET_D18_LEAF4,1,0.7327950825108264,10,8,9350,6068
EXTRA_TREES,3,ET_D18_LEAF4,2,0.7171762724105647,12,6,9013,6405
EXTRA_TREES,3,ET_D18_LEAF4,3,0.5873589680055882,14,4,12473,2945
