configuration,file_name,source_rows,retained_rows,C_X_body_median,C_X_body_p05,C_X_body_p95,C_Y_body_median,C_Y_body_p05,C_Y_body_p95,C_Z_body_median,C_Z_body_p05,C_Z_body_p95,C_D_drag_median,C_D_drag_p05,C_D_drag_p95,C_Y_wind_median,C_Y_wind_p05,C_Y_wind_p95,C_L_lift_median,C_L_lift_p05,C_L_lift_p95,C_l_roll_median,C_l_roll_p05,C_l_roll_p95,C_m_pitch_median,C_m_pitch_p05,C_m_pitch_p95,C_n_yaw_median,C_n_yaw_p05,C_n_yaw_p95
clean,lat_db_06_8_ID_5.csv,403,399,-0.044162663774579634,-0.0520271789042893,-0.03514813859167494,0.000604438475579632,-0.016030798514754262,0.01969617159207449,-0.25292722504462456,-0.334652427465302,-0.1737710974953215,0.051783297949373024,0.035281936201358395,0.061712168539122404,0.0011355380744844218,-0.016882156519683344,0.017034118107342826,0.25218199075027364,0.17274235514394792,0.33131189182935356,0.00101552392024505,-0.00285282896901598,0.00487957942586776,0.00036844691527977605,-0.005528575439094607,0.005046659447016252,1.2574066402390372e-05,-0.0011711844186916391,0.001256384428270999
clean,lat_db_06_8_ID_6.csv,313,309,-0.034912717719389766,-0.04474762721578966,-0.029735416979102078,0.0010653806456139532,-0.017060691189587508,0.026092206744034625,-0.2405006822827421,-0.3307421625529138,-0.1477747614438764,0.04267197979793563,0.034046339722551625,0.05288666788358323,-0.00023083145029239964,-0.01732760383797628,0.022443438411028763,0.23920301329475457,0.14811002203090654,0.32905746092091576,0.0009941822486785473,-0.002737633004764533,0.004514556362450231,0.00021188521503645922,-0.004380622152907,0.004650302408623581,3.975597443314024e-06,-0.001476166235674531,0.0008967529935187228
clean,lat_db_30_5_ID_4.csv,547,543,-0.04050147846343679,-0.05191326892216032,-0.03024518694578947,-0.00014405077912979145,-0.011306716008498882,0.014904455353898942,-0.25144551977643786,-0.3230687713324445,-0.18485954037281413,0.04562116938337602,0.03295367993223136,0.05712420251076121,-0.0014808951975111553,-0.012586512455282584,0.012107266732410863,0.2506909638076265,0.18454760876737578,0.3226949782205492,0.0010925595203871742,-0.0019551438912967308,0.003829100684222146,-0.00010980874165849984,-0.002957323131093674,0.003441786835694946,9.996667663179156e-06,-0.0008672586627482923,0.000609477266163546
clean,lat_db_30_5_ID_5.csv,655,651,-0.03955937087428991,-0.04778258536955466,-0.02932150003763554,0.0017153754461841427,-0.011495599203248354,0.01356064440356012,-0.24980444297626686,-0.3209443021436855,-0.1884544727123424,0.04555822721727828,0.02872098894185722,0.05915309980987267,0.0008564622593518024,-0.01184486639847327,0.011161572942407258,0.24949605509174935,0.18794495170723274,0.3192727887801543,0.0009957234154837622,-0.0012469849165288355,0.0031673706204577955,0.00017314928405530452,-0.0036775518063330635,0.003927981687557017,-5.353481256181144e-05,-0.000749111730906408,0.0006351448169131227
clean,lon_3211_02_12_ID_4.csv,317,313,-0.03640838955464262,-0.04651197289287301,-0.003427927614544429,-0.0007935963582366205,-0.009757270495063131,0.006671181357084751,-0.23330069013624516,-0.4839823087594721,-0.13537212776232782,0.04344062908027981,0.03836654032876343,0.07192972995962503,-0.003006200141765019,-0.012168137207277357,0.004068084596430495,0.23219246275117889,0.13509608704895618,0.480531405235609,0.001061283342311174,6.1019981354981774e-05,0.002156530488464944,-5.884419953154127e-06,-0.012806274099990259,0.009697965152661227,-7.878968842839684e-07,-0.0004555130269805563,0.00047236842854556636
clean,lon_3211_02_12_ID_5.csv,489,485,-0.03791698420866145,-0.04476581168783782,-0.027009172500986285,0.0006479517370465213,-0.00531068461991009,0.008166933845031225,-0.24402684512403783,-0.36232439922815407,-0.19509800928028656,0.04722456344318442,0.03821597900074142,0.05695516850870901,-8.37595996574868e-05,-0.0059795300098138705,0.006398816233755848,0.24225669660297416,0.19373204214360795,0.3602430332748692,0.0010435366849609053,-9.005854080462402e-05,0.0021993091202276733,-7.1432699321686515e-06,-0.003802970977153642,0.004330317921736974,-9.72899217718483e-06,-0.00042591678766101305,0.00033980308775242253
clean,lon_3211_15_6_ID_4.csv,686,682,-0.03766196359176975,-0.045714313341403086,-0.028710436898301418,0.0006790351864535223,-0.004351429604527155,0.006852933200648899,-0.2478504254584144,-0.3360176006586957,-0.18685764888008197,0.04337570263914103,0.032810664267089305,0.052276212878381655,0.00024565155427546553,-0.005026616639688948,0.005629144858948072,0.24709200552252641,0.18673614037051264,0.3347404444810805,0.0010079948701087228,0.00012795379319209817,0.0019121089191038087,-2.6491492455726586e-06,-0.004198561886791678,0.0036004946944697405,-7.445829760903156e-06,-0.0002961142315181947,0.00026926623296072297
clean,lon_3211_15_6_ID_5.csv,597,593,-0.03661231184258463,-0.04663414828665027,-0.028378506897843516,7.93805065599026e-05,-0.005446636478353623,0.007303422737276601,-0.24216461850909413,-0.3564612657541246,-0.18214798499650814,0.04314350121730408,0.03526151110794563,0.06101711161820933,-0.001855207966467992,-0.007235166646912917,0.004331469418362381,0.24110043551720736,0.18124018852407395,0.35440800660514193,0.0010107446376290683,0.00035096068919958536,0.001844929988604941,-1.5583650505966018e-05,-0.0046138338590915795,0.00502803236967616,-8.099997619310002e-06,-0.00023304431523830043,0.00020894046931880644
clean,lon_db_03_12_ID_4.csv,276,272,-0.035446643784589615,-0.04302370277874985,-0.023279348990429674,-0.0008380578760781075,-0.007785364360329196,0.005324600498376145,-0.24183997436885635,-0.33019712265861423,-0.19568445949138566,0.04074693934185884,0.03554033866293249,0.06924557289549746,-0.0027035991779273518,-0.009539957527654807,0.0031773397354168337,0.2410237012796051,0.19522979978929733,0.3285250952233222,0.0009741126333179708,-0.00014214308809632894,0.002172499285520824,-5.4168540687131014e-05,-0.00324791127189473,0.005326348310050483,-1.4222426630542657e-05,-0.0004038365489312302,0.0003759555643019743
clean,lon_db_03_12_ID_5.csv,336,332,-0.03642018611723338,-0.0419433651849817,-0.03049633246575795,0.0011197797100054889,-0.004597116360826461,0.00745423367863894,-0.24643107452664562,-0.31227044874804777,-0.21886687555794543,0.0409441838057006,0.035098966831311196,0.05085456868748926,0.00017085830789635923,-0.005571808327868815,0.005520363355976112,0.24602693922345267,0.21849744553365769,0.3115063361858239,0.0009342597306684769,6.595998434105227e-05,0.0019479338271177129,7.500051969618879e-05,-0.0023922964748844403,0.004067617885989956,-1.766455321841893e-05,-0.0003223194300806452,0.0002653325024146827
