repeat,feature,baseline_primary_nrmse,permuted_primary_nrmse,delta_primary_nrmse
10,r,0.5399890077502464,0.5745455308386603,0.03455652308841395
10,aileron,0.5399890077502464,0.6273265365796634,0.08733752882941703
10,elevator,0.5399890077502464,0.5979648086086312,0.05797580085838483
11,Va_EKF_CG,0.5399890077502464,0.5633612748126076,0.023372267062361174
11,alpha,0.5399890077502464,0.7408351588915684,0.20084615114132198
11,beta,0.5399890077502464,0.6756794844980426,0.13569047674779622
11,p,0.5399890077502464,0.5821858939472823,0.04219688619703588
11,q,0.5399890077502464,0.6634069806532507,0.12341797290300427
11,r,0.5399890077502464,0.573411735957393,0.033422728207146646
11,aileron,0.5399890077502464,0.6259740408627574,0.08598503311251104
11,elevator,0.5399890077502464,0.5991060635700638,0.05911705581981741
12,Va_EKF_CG,0.5399890077502464,0.5653886336915369,0.025399625941290527
12,alpha,0.5399890077502464,0.7419983875391517,0.20200937978890532
12,beta,0.5399890077502464,0.6791121472379521,0.13912313948770572
12,p,0.5399890077502464,0.5838934515376409,0.043904443787394554
12,q,0.5399890077502464,0.6642520581687285,0.12426305041848207
12,r,0.5399890077502464,0.5739713106288105,0.033982302878564075
12,aileron,0.5399890077502464,0.6287153181428912,0.08872631039264478
12,elevator,0.5399890077502464,0.5986304928355426,0.05864148508529621
13,Va_EKF_CG,0.5399890077502464,0.564843863189714,0.024854855439467638
13,alpha,0.5399890077502464,0.7402662278618335,0.2002772201115871
13,beta,0.5399890077502464,0.6766772564598087,0.1366882487095623
13,p,0.5399890077502464,0.5831708902414362,0.043181882491189816
13,q,0.5399890077502464,0.6645699562612825,0.12458094851103607
13,r,0.5399890077502464,0.5748725004173236,0.03488349266707724
13,aileron,0.5399890077502464,0.6284573921479563,0.08846838439770988
13,elevator,0.5399890077502464,0.5992714885593263,0.05928248080907994
14,Va_EKF_CG,0.5399890077502464,0.5633378389459853,0.02334883119573894
14,alpha,0.5399890077502464,0.7398438740477166,0.19985486629747018
14,beta,0.5399890077502464,0.6804801787628124,0.14049117101256603
14,p,0.5399890077502464,0.582980116436279,0.04299110868603262
14,q,0.5399890077502464,0.6645955309301617,0.12460652317991527
14,r,0.5399890077502464,0.5750248261301051,0.035035818379858696
14,aileron,0.5399890077502464,0.6287797663421034,0.08879075859185703
14,elevator,0.5399890077502464,0.597785019991789,0.05779601224154263
15,Va_EKF_CG,0.5399890077502464,0.5645748504811202,0.02458584273087383
15,alpha,0.5399890077502464,0.7347475365213715,0.1947585287711251
15,beta,0.5399890077502464,0.6787317851829426,0.13874277743269625
15,p,0.5399890077502464,0.5819811429181447,0.04199213516789835
15,q,0.5399890077502464,0.6640639319899024,0.12407492423965605
15,r,0.5399890077502464,0.5744029907008614,0.03441398295061504
15,aileron,0.5399890077502464,0.6284593853968091,0.08847037764656274
15,elevator,0.5399890077502464,0.5983057510802762,0.058316743330029785
16,Va_EKF_CG,0.5399890077502464,0.5637559896868484,0.023766981936601983
16,alpha,0.5399890077502464,0.7411232925270786,0.20113428477683226
16,beta,0.5399890077502464,0.681815837647127,0.14182682989688067
16,p,0.5399890077502464,0.5813953868955021,0.04140637914525569
16,q,0.5399890077502464,0.6638298619456771,0.12384085419543067
16,r,0.5399890077502464,0.5757339551840518,0.03574494743380541
16,aileron,0.5399890077502464,0.6271522914767286,0.08716328372648219
16,elevator,0.5399890077502464,0.5970703919111892,0.05708138416094277
17,Va_EKF_CG,0.5399890077502464,0.5645767619318258,0.024587754181579435
17,alpha,0.5399890077502464,0.7424938449110199,0.2025048371607735
17,beta,0.5399890077502464,0.6723887699580059,0.1323997622077595
17,p,0.5399890077502464,0.5829612160625044,0.04297220831225801
17,q,0.5399890077502464,0.6645977025422973,0.12460869479205094
17,r,0.5399890077502464,0.5742340593294851,0.03424505157923874
17,aileron,0.5399890077502464,0.6257297971438879,0.08574078939364149
17,elevator,0.5399890077502464,0.5990339197259313,0.059044911975684955
18,Va_EKF_CG,0.5399890077502464,0.5642880765829853,0.024299068832738913
18,alpha,0.5399890077502464,0.7397274639623039,0.19973845621205755
18,beta,0.5399890077502464,0.6779234749073403,0.1379344671570939
18,p,0.5399890077502464,0.5827005380470546,0.04271153029680819
18,q,0.5399890077502464,0.663141086054697,0.12315207830445063
18,r,0.5399890077502464,0.5733885999003518,0.03339959215010546
18,aileron,0.5399890077502464,0.6275536670470836,0.08756465929683721
18,elevator,0.5399890077502464,0.5985802015869308,0.05859119383668443
19,Va_EKF_CG,0.5399890077502464,0.564566452854257,0.02457744510401061
19,alpha,0.5399890077502464,0.7434361645154156,0.20344715676516922
19,beta,0.5399890077502464,0.6777352333984344,0.13774622564818806
19,p,0.5399890077502464,0.5816502199034255,0.041661212153179084
19,q,0.5399890077502464,0.6636075377653768,0.12361853001513046
19,r,0.5399890077502464,0.5747237955347002,0.034734787784453824
19,aileron,0.5399890077502464,0.6264328965988533,0.08644388884860688
19,elevator,0.5399890077502464,0.5976945614908562,0.057705553740609816
20,Va_EKF_CG,0.5399890077502464,0.5644537608398325,0.024464753089586067
20,alpha,0.5399890077502464,0.7426525888162114,0.20266358106596505
20,beta,0.5399890077502464,0.6770004106398244,0.13701140288957803
20,p,0.5399890077502464,0.5815548662190713,0.04156585846882488
20,q,0.5399890077502464,0.6639333642426873,0.12394435649244095
20,r,0.5399890077502464,0.574930505919318,0.03494149816907166
20,aileron,0.5399890077502464,0.6268875982855701,0.08689859053532367
20,elevator,0.5399890077502464,0.5979849597713585,0.057995952021112074
