configuration,file_name,source_rows,retained_rows,C_X_body_median,C_X_body_p05,C_X_body_p95,C_Y_body_median,C_Y_body_p05,C_Y_body_p95,C_Z_body_median,C_Z_body_p05,C_Z_body_p95,C_D_drag_median,C_D_drag_p05,C_D_drag_p95,C_Y_wind_median,C_Y_wind_p05,C_Y_wind_p95,C_L_lift_median,C_L_lift_p05,C_L_lift_p95,C_l_roll_median,C_l_roll_p05,C_l_roll_p95,C_m_pitch_median,C_m_pitch_p05,C_m_pitch_p95,C_n_yaw_median,C_n_yaw_p05,C_n_yaw_p95
clean,lat_db_06_8_ID_2.csv,280,276,-0.03406226031268518,-0.03917676667993979,-0.026759217489591383,0.0005782829336635376,-0.01936658537509528,0.021620161665625824,-0.22733616205216947,-0.30118645983313386,-0.16218158055028614,0.0400816381052129,0.03125033443591884,0.04757230905670583,-0.00026882791408850326,-0.01994637822739376,0.01779503936437356,0.22642330033737423,0.16315515136535627,0.2995506444579131,0.000958419883362879,-0.0027793637667408227,0.004713324142857837,-0.00011953398141841524,-0.0040987688736217245,0.004370698047613871,2.0357658710555335e-05,-0.0013478756138667418,0.0009152674030082398
clean,lat_db_06_8_ID_3.csv,334,330,-0.04025092385106006,-0.050025063809792505,-0.0302022050479116,-0.000810550375001342,-0.013480781146422628,0.013968029970024106,-0.25188273427757485,-0.32235468544973156,-0.18197347698575833,0.0456944256533224,0.031576491430618574,0.05498767312137532,-0.0024117152503376343,-0.014023212572722637,0.011914305635247001,0.2508291894827395,0.18181953782189952,0.3209301773472052,0.001029697762007599,-0.0024089643819914363,0.004274324159270676,-1.3007771878804326e-05,-0.004225169110290364,0.0046859137582561635,-1.5403197377308015e-05,-0.0009459129715977748,0.0008968034638221097
clean,lat_db_30_5_ID_1.csv,632,628,-0.0386431166026447,-0.04989428914850556,-0.028221672382019915,0.0008031016429871612,-0.009125411293395596,0.014758663242210552,-0.2527253673804065,-0.316930763739028,-0.18726081225383967,0.04641748653604162,0.03194243934458866,0.05791183847206802,0.00024028109396618418,-0.00986738824028753,0.01229072708879365,0.25177511509151884,0.1859760851472899,0.31603983317106105,0.001013202570316004,-0.0010616686822072466,0.0031302577882066527,-1.3746782344621807e-05,-0.0033518469212163744,0.0036761265844161978,-1.219265093916689e-05,-0.0008661673093625472,0.0006256271041768604
clean,lat_db_30_5_ID_2.csv,569,565,-0.04302129017405316,-0.050425009896466214,-0.03248830863992378,0.0005406951145165297,-0.014738750103302722,0.015940383606785048,-0.2560423620885994,-0.3319783058576705,-0.1859916612921903,0.0511561433999557,0.03771957171389439,0.06082408514400374,-0.0010995507343079,-0.01592562607177616,0.01299317229095839,0.2545631690157013,0.18515926235224436,0.3306463769763101,0.0011344576124468534,-0.0014254460168587673,0.003823772379366417,-2.957572958606631e-05,-0.003904639631937582,0.004316655899299749,-5.6207909347579515e-05,-0.0008045509465995452,0.0007944771095622229
clean,lat_db_30_5_ID_3.csv,654,650,-0.04068519697905977,-0.0501514089637594,-0.029475722051050483,0.0008457227625607881,-0.010125659095620333,0.015006519103540499,-0.2530282928891511,-0.326285618512437,-0.19137798881618673,0.044649718819669226,0.03188774670345157,0.05733498453991138,0.000511213137295862,-0.010530594091436526,0.01264523009428233,0.2523245992615686,0.19122644954056112,0.32513349926244234,0.0010896896883533683,-0.0011498562085254275,0.0029415323466297654,9.57034738970675e-05,-0.003507264362135951,0.003351499741641615,2.076484898224865e-06,-0.000715387520339232,0.0005318991611683573
clean,lon_3211_02_12_ID_1.csv,348,344,-0.03835452982713042,-0.04552382042232962,-0.0009497915446454916,0.0017730565774860107,-0.006858270020418623,0.010846663309728772,-0.2546521922809612,-0.4859225090404466,-0.14351926433561568,0.04383014774767539,0.038130311016098074,0.06259167531159979,-0.0004999816650409382,-0.008627049258247704,0.00969634214710955,0.25421016465956875,0.1425652152028227,0.484910908953134,0.000931917050728758,-0.0005464212866957914,0.0033476299258619383,6.174742756040469e-05,-0.00773890109007422,0.008235134889300848,-2.1527333423146656e-05,-0.0006930809378799805,0.0006020956118618838
clean,lon_3211_02_12_ID_2.csv,413,409,-0.03611868464858381,-0.04561031685669958,-0.026846689691759913,0.00012652519944439782,-0.006869002736287452,0.010394905488305992,-0.23618868752549554,-0.38282055191550113,-0.1724490569009562,0.04252035633685455,0.03382297876995078,0.06440600013062073,0.0005460008320546885,-0.005851521527570006,0.010411731831717286,0.2350987522875868,0.17194493828518725,0.3803871864549999,0.0009680353666100456,-0.0005173196302978997,0.0030850525973264028,3.5205713168610576e-06,-0.0056686316756081635,0.00657054104993047,2.0136577651295126e-05,-0.0007003161429488952,0.0004909756297609448
clean,lon_3211_02_12_ID_3.csv,318,314,-0.03825325704196923,-0.04789998298684933,0.0012884796243313047,0.000979431113216769,-0.007609891784750791,0.009680337998215887,-0.24979420726861945,-0.45114348727289955,-0.1413612442841501,0.045790883959708775,0.029340019073375852,0.0628332568275187,-0.0017099855557100507,-0.009604363177508445,0.0068872870994927185,0.24926286258187197,0.1402790355538268,0.4486344247594086,0.0011046457430306696,-0.0005901267416871184,0.0022550365706202743,-1.5421296789002307e-05,-0.011727801364761627,0.011758829444509093,-3.910925251049502e-05,-0.0005332646881263274,0.0004278765937167213
clean,lon_3211_15_6_ID_1.csv,569,565,-0.03882914309441476,-0.04770161359231708,-0.029341447820446752,5.086559320561329e-05,-0.00551307091313793,0.006943297738436902,-0.24770840305363037,-0.3527906107230727,-0.1695515069845124,0.04423276809581911,0.03688426537035661,0.055314643441630784,-0.0022967845448078846,-0.0076446589039423935,0.004169202846921006,0.24687916368351726,0.16910843107423051,0.3508948102993217,0.0010494879367500612,0.00022762846735401826,0.0020098822337065486,5.628836795950494e-06,-0.004185364542708277,0.004884432571102157,-5.904653588535334e-06,-0.00027753775736542494,0.0002419845239594589
clean,lon_3211_15_6_ID_2.csv,699,695,-0.03724778970864818,-0.043346390585412786,-0.027804558668934904,0.0006180511626628308,-0.003887070272544914,0.006024579823521798,-0.24907734613264254,-0.3320681903317047,-0.18640614964052765,0.04181977502699545,0.03628196288462502,0.05567266527067676,0.0002551760018567515,-0.004216563965397338,0.004864339854680277,0.24820661933656482,0.185623993002227,0.32983040805780056,0.0010072286848643842,9.894477154720672e-05,0.001889453063314284,5.9954806322015554e-05,-0.003754631839109305,0.0037434299165895694,-2.1752271322538253e-05,-0.00025603168590512045,0.00029129217008977106
